,Unnamed: 0,Tweet,casefold,Tweet_perbaikan,Tweet_filtered,Tweet_stem
1,2265,"['abis', 'bulutangkis']",abis bulutangkis,"['setelah', 'bulutangkis']","['setelah', 'bulutangkis']","['telah', 'bulutangkis']"
2,308,"['acara', 'sampe', 'nggak', 'henti', 'nang', 'terimakasih', 'kak', 'greysia', 'dedikasi', 'bulutangkis', 'indonesiaterimakasih', 'semangat', 'terimakasih', 'prestasi', 'terimakasihgreysiapolii']",acara sampe nggak henti nang terimakasih kak greysia dedikasi bulutangkis indonesiaterimakasih semangat terimakasih prestasi terimakasihgreysiapolii,"['acara', 'sampai', 'nggak', 'berhenti', 'di', 'terimakasih', 'kak', 'greysia', 'dedikasi', 'bulutangkis', 'indonesiaterimakasih', 'semangat', 'terimakasih', 'prestasi', 'terimakasihgreysiapolii']","['acara', 'sampai', 'nggak', 'berhenti', 'terimakasih', 'kak', 'greysia', 'dedikasi', 'bulutangkis', 'indonesiaterimakasih', 'semangat', 'terimakasih', 'prestasi', 'terimakasihgreysiapolii']","['acara', 'sampai', 'nggak', 'henti', 'terimakasih', 'kak', 'greysia', 'dedikasi', 'bulutangkis', 'indonesiaterimakasih', 'semangat', 'terimakasih', 'prestasi', 'terimakasihgreysiapolii']"
3,25,"['agam', 'prestasi', 'catat', 'greysia', 'polii', 'atlet', 'bulutangkis', 'asi', 'games', 'sea', 'games', 'olimpiade', 'gelar']",agam prestasi catat greysia polii atlet bulutangkis asi games sea games olimpiade gelar,"['agam', 'prestasi', 'catat', 'greysia', 'polii', 'atlet', 'bulutangkis', 'asi', 'games', 'sea', 'games', 'olimpiade', 'gelar']","['agam', 'prestasi', 'catat', 'greysia', 'polii', 'atlet', 'bulutangkis', 'asi', 'games', 'sea', 'games', 'olimpiade', 'gelar']","['agam', 'prestasi', 'catat', 'greysia', 'polii', 'atlet', 'bulutangkis', 'asi', 'games', 'sea', 'games', 'olimpiade', 'gelar']"
4,701,"['aja', 'ga', 'ngerti', 'bulutangkis', 'kaya']",aja ga ngerti bulutangkis kaya,"['saja', 'tidak', 'ngerti', 'bulutangkis', 'kaya']","['saja', 'tidak', 'ngerti', 'bulutangkis', 'kaya']","['saja', 'tidak', 'ngerti', 'bulutangkis', 'kaya']"
5,824,"['ajang', 'kompetisi', 'olahraga', 'gengsi', 'atlet', 'sandang', 'disabilitas', 'tanding', 'cabang', 'olahraga', 'paraatletik', 'pararenang', 'bulutangkis', 'tenis', 'meja', 'catur', 'paraangkat', 'berat', 'boccia', 'blind', 'judo', 'goalball', 'tenis', 'kursi', 'roda']",ajang kompetisi olahraga gengsi atlet sandang disabilitas tanding cabang olahraga paraatletik pararenang bulutangkis tenis meja catur paraangkat berat boccia blind judo goalball tenis kursi roda,"['ajang', 'kompetisi', 'olahraga', 'gengsi', 'atlet', 'sandang', 'disabilitas', 'tanding', 'cabang', 'olahraga', 'paraatletik', 'pararenang', 'bulutangkis', 'tenis', 'meja', 'catur', 'paraangkat', 'berat', 'boccia', 'blind', 'judo', 'goalball', 'tenis', 'kursi', 'roda']","['ajang', 'kompetisi', 'olahraga', 'gengsi', 'atlet', 'sandang', 'disabilitas', 'tanding', 'cabang', 'olahraga', 'paraatletik', 'pararenang', 'bulutangkis', 'tenis', 'meja', 'catur', 'paraangkat', 'berat', 'boccia', 'blind', 'judo', 'goalball', 'tenis', 'kursi', 'roda']","['ajang', 'kompetisi', 'olahraga', 'gengsi', 'atlet', 'sandang', 'disabilitas', 'tanding', 'cabang', 'olahraga', 'paraatletik', 'pararenang', 'bulutangkis', 'tenis', 'meja', 'catur', 'paraangkat', 'berat', 'boccia', 'blind', 'judo', 'goalball', 'tenis', 'kursi', 'roda']"
6,732,"['ajar', 'waelah', 'gk', 'tuh', 'kalo', 'gk', 'support', 'main', 'bulutangkis', 'indo']",ajar waelah gk tuh kalo gk support main bulutangkis indo,"['ajar', 'waelah', 'tidak', 'itu', 'kalau', 'tidak', 'support', 'main', 'bulutangkis', 'indo']","['ajar', 'waelah', 'tidak', 'tidak', 'support', 'main', 'bulutangkis', 'indo']","['ajar', 'waelah', 'tidak', 'tidak', 'support', 'main', 'bulutangkis', 'indo']"
7,2268,"['ak', 'lg', 'nonton', 'bulutangkis']",ak lg nonton bulutangkis,"['aku', 'lg', 'nonton', 'bulutangkis']","['lg', 'nonton', 'bulutangkis']","['lg', 'nonton', 'bulutangkis']"
8,790,"['akku', 'tonton', 'tanding', 'bulutangkis', 'ya', 'stop', 'deh', 'nontonya', 'notifikasi', 'ok']",akku tonton tanding bulutangkis ya stop deh nontonya notifikasi ok,"['akku', 'tonton', 'tanding', 'bulutangkis', 'ya', 'stop', 'deh', 'nontonya', 'notifikasi', 'ok']","['akku', 'tonton', 'tanding', 'bulutangkis', 'ya', 'stop', 'deh', 'nontonya', 'notifikasi', 'ok']","['akku', 'tonton', 'tanding', 'bulutangkis', 'ya', 'stop', 'deh', 'nontonya', 'notifikasi', 'ok']"
9,770,"['aku', 'ginting', 'bikin', 'axelsen', 'raja', 'bulutangkis', 'dunia']",aku ginting bikin axelsen raja bulutangkis dunia,"['aku', 'ginting', 'membuat', 'axelsen', 'raja', 'bulutangkis', 'dunia']","['ginting', 'membuat', 'axelsen', 'raja', 'bulutangkis', 'dunia']","['ginting', 'buat', 'axelsen', 'raja', 'bulutangkis', 'dunia']"
10,2010,"['alas', 'cari', 'cari', 'djarum', 'rokok', 'sponsor', 'bulutangkis', 'puluh', 'olahraga', 'rokok', 'kontradiksi']",alas cari cari djarum rokok sponsor bulutangkis puluh olahraga rokok kontradiksi,"['alas', 'cari', 'cari', 'djarum', 'rokok', 'sponsor', 'bulutangkis', 'puluh', 'olahraga', 'rokok', 'kontradiksi']","['alas', 'cari', 'cari', 'djarum', 'rokok', 'sponsor', 'bulutangkis', 'puluh', 'olahraga', 'rokok', 'kontradiksi']","['alas', 'cari', 'cari', 'djarum', 'rokok', 'sponsor', 'bulutangkis', 'puluh', 'olahraga', 'rokok', 'kontradiksi']"
